"dishes_name" "sum(counts)"
"147" "香辣爆羊肝


" 69
"148" "香辣腐乳炒虾" 86
"149" "香酥两吃大虾" 179
"150" "鱼香肉丝拌面" 40
"151" "鲜美鳝鱼" 22
"152" "鸡蛋、肉末肠粉" 14
"153" "麻辣小龙虾" 219
"154" "黄尾袋鼠西拉子红葡萄酒" 53
"155" "黄油曲奇饼干" 28
"156" "黄花菜炒木耳" 62
"157" "黑米恋上葡萄" 58
